# Opus Dictionary - LLM-generated transliterations
# Format: Thai<TAB>Romanization
# This file is auto-generated from corpus test failures
# and filled in by Claude Opus
กฎระเบียบ	gòt-rá~bìiap
ชัวร์	chuua
ชาลส์	chaan
ชาว	chaao
ชีวิต	chii-wít
ชื่อ	chʉ̂ʉ
ชื่อว่า	chʉ̂ʉ-wâa
ชุดนักเรียน	chút-nák-riian
ช่วยกัน	chûuai-gan
ช่างมันเถอะ	châang-man-tə̀
ซัพพอร์ต	sáp-pɔ̀ɔt
ซีรี่ส์	sii-rîi
ซีส	síit
ซื้อ	sʉ́ʉ
ดา	daa
ดาร์	daa
ดำรง	dam-rong
ดิ้นรน	dîn-ron
ดี	dii
ดีกว่า	dii-gwàa
ดีจริง	dii-jing
ด้วยซ้ำ	dûuai-sám
ด้านหลัง	dâan-lǎng
ต.	dtɔɔ
ตรงนั้น	dtrong-nán
ตราบใดที่	dtràap-dai-tîi
ตลอดชีวิต	dtà~lɔ̀ɔt-chii-wít
ตอน	dtɔɔn
ตอนนั้น	dtɔɔn-nán
ตอบคำถาม	dtɔ̀ɔp-kam-tǎam
ตัดผม	dtàt-pǒm
ตัวสั่น	dtuua-sàn
ตั้งคำถาม	dtâng-kam-tǎam
ตามระเบียบ	dtaam-rá~bìiap
ตายห่า	dtaai-hàa
ตำราเรียน	dtam-raa-riian
ตุ๊กตา	dtúk-gà~dtaa
ต่อรอง	dtɔ̀ɔ-rɔɔng
ต้น	dtôn
ต้อง	dtɔ̂ng
ต้องตาม	dtɔ̂ng-dtaam
ต้องหา	dtɔ̂ng-hǎa
ต้องโทษ	dtɔ̂ng-tôot
ต้า	dtâa
ถาม	tǎam
ถามหา	tǎam-hǎa
ถีบ	tìip
ถึงขนาด	tʉ̌ng-kà~nàat
ถึงว่า	tʉ̌ng-wâa
ถูกระเบียบ	tùuk-rá~bìiap
ถ้า	tâa
ทฤษฎี	trít-sà~dii
ทั้งนั้น	táng-nán
ทั้งปี	táng-bpii
ทั้งมวล	táng-muuan
ทาง	taang
ทำ	tam
ทำคะแนน	tam-ká~nɛɛn
ทำผิด	tam-pìt
ทำได้	tam-dâai
ที่ซ่อน	tîi-sɔ̂ɔn
ที่นี่	tîi-nîi
ที่สอง	tîi-sɔ̌ɔng
ที่ไหน	tîi-nǎi
ทุกคน	túk-kon
ทุกท่าน	túk-tâan
ท็อป	tɔ́p
ธร	tɔɔn
ธรรมเนียม	tam-niiam
ธีร์	tii
น.	nɔɔ
นกกระจอก	nók-grà~jɔ̀ɔk
นส์	nót
นอน	nɔɔn
นะคะ	ná-ká
นะจ๊ะ	ná-já
นะเนี่ย	ná-nîia
นั่น	nân
นั่นสิ	nân-sì
นั้น	nán
นั้นแหละ	nán-lɛ̀
นา	naa
นางเอก	naang-èek
นาฬิกาปลุก	naa-lí~gaa-bplùk
นิ	ní
นิพนธ์	ní-pon
นิสัยเสีย	ní-sǎi-sǐia
นิ้วโป้ง	níu-bpôong
นี่แหละ	nîi-lɛ̀
นี้	níi
นี้แหละ	níi-lɛ̀
นึกคิด	nʉ́k-kít
นุ	nú
นู่น	nûun
นู้น	núun
น่าเป็นห่วง	nâa-bpen-hùuang
น้ำ	nám
บ.	bɔɔ
บน	bon
บลูทูธ	bluu-túut
บอ	bɔɔ
บอกชื่อ	bɔ̀ɔk-chʉ̂ʉ
บางกอก	baang-gɔ̀ɔk
บุคคล	bùk-kon
บ๊วย	búai
ปกครอง	bpòk-krɔɔng
ปร	bpɔɔn
ประชา	bprà~chaa
ประเทศ	bprà~têet
ประเทศชาติ	bprà~têet-châat
ปรากฏการณ์	bpraa-gòt-gaan
ปลิง	bpling
ปล่อยไป	bplɔ̀i-bpai
ปว	bpuua
ปอม	bpɔɔm
ปัณฑิ	bpan-tí
ปั๊บ	bpáp
ปาด	bpàat
ปุ๊บ	bpúp
ป่วน	bpùuan
ป๊อป	bpɔ́p
ผลการเรียน	pǒn-gaan-riian
ผลสอบ	pǒn-sɔ̀ɔp
ผิดระเบียบ	pìt-rá~bìiap
ผู้ชาย	pûu-chaai
ผู้อำนวยการ	pûu-am-nuuai-gaan
พระรอง	prá-rɔɔng
พรุ่งนี้	prûng-níi
พลังจิต	pá~lang-jìt
พวกคุณ	pûuak-kun
พวกผม	pûuak-pǒm
พวกเขา	pûuak-kǎo
พวกเรา	pûuak-rao
พักเที่ยง	pák-tîiang
พิสิฏฐ์	pí~sìt
พูดจา	pûut-jaa
พูดมาก	pûut-mâak
ภณัทร	pá~nát
ภรณ์	pɔɔn
ภาษาอังกฤษ	paa-sǎa-ang-grìt
มหาวิทยาลัย	má~hǎa-wít-tá~yaa-lai
มะ	má
มัน	man
มาทัน	maa-tan
มาหา	maa-hǎa
มี	mii
มีความหมาย	mii-kwaam-mǎai
มีปัญหา	mii-bpan-hǎa
มีมูล	mii-muun
มีสิทธิ์	mii-sìt
มือขวา	mʉʉ-kwǎa
ยกมือ	yók-mʉʉ
ยังไง	yang-ngai
ยึด	yʉ́t
ยุติธรรม	yút-dtì~tam
รท์	rót
ระ	rá
ระเบียบวินัย	rá~bìiap-wí~nai
รัว	ruua
รุ่งโรจน์	rûng-ròot
รู้ดี	rúu-dii
ร่วม	rûuam
ร้ายแรง	ráai-rɛɛng
ฤทธา	rít-taa
ลงมา	long-maa
ลวกๆ	lûuak-lûuak
ละเว้น	lá~wén
ลืม	lʉʉm
ล้วน	lúan
วจะ	wá~já
วสุ	wá~sù
วัน	wan
วันนี้	wan-níi
วันหลัง	wan-lǎng
วิทยาคม	wít-tá~yaa-kom
ว่าง	wâang
ว่าที่	wâa-tîi
ว่าไม่ได้	wâa-mâi-dâai
ศักดิ์	sàk
ศักยภาพ	sàk-gà~yá~pâap
สถานี	sà~tǎa-nii
สนุก	sà~nùk
สม่ำเสมอ	sà~màm-sà~mə̌ə
สยาม	sà~yǎam
สลัม	sà~lam
สวัสดี	sà~wàt-dii
สะใจ	sà~jai
สักนิด	sàk-nít
สังคม	sǎng-kom
สัปดาห์	sàp-daa
สั่นหัว	sàn-hǔua
สาธารณูปโภค	sǎa-taa-rá~nuu-bpà~pôok
สำคัญ	sǎm-kan
สำหรับ	sǎm-ràp
สำออย	sǎm-ɔɔi
สิบ	sìp
สิวะ	sì~wá
สุด	sùt
สเปก	sà~bpèk
สไปรท์	sà~bpai-rái
ส่วนหนึ่ง	sùuan-nʉ̀ng
หญิง	yǐng
หรือยัง	rʉ̌ʉ-yang
หรือเปล่า	rʉ̌ʉ-bplào
หรือไง	rʉ̌ʉ-ngai
หรือไม่	rʉ̌ʉ-mâi
หลักสูตร	làk-sùut
หลังจากนี้	lǎng-jàak-níi
หว่า	wàa
หัง	hǎng
หายหน้า	hǎai-nâa
หาเรื่อง	hǎa-rʉ̂ʉang
หึ	hʉ̀
อนุโลม	à~nú~loom
อบ	òp
อภิปราย	à~pí~bpraai
อภิสิทธิ์	à~pí~sìt
อยู่เลย	yùu-ləəi
อยู่แล้ว	yùu-lɛ́ɛo
อย่างนี้	yàang-níi
อย่างหนึ่ง	yàang-nʉ̀ng
อร่อย	à~rɔ̀i
ออด	ɔ̀ɔt
ออดิชั่น	ɔɔ-dì-chân
อะ	à
อะนะ	à~ná
อะไร	à~rai
อัจฉริยะ	àt-chà~rí~yá
อัตนัย	àt-dtà~nai
อีกแล้ว	ìik-lɛ́ɛo
อึน	ʉ̀n
อื่น	ʉ̀ʉn
อื้อหือ	ʉ́ʉ-hʉ̌ʉ
อื้อฮือ	ʉ́ʉ-hʉʉ
อุ๊ย	úi
อ้อย	ɔ̂i
อ้าว	âao
ฮอร์	hɔɔ
ฮอร์โมน	hɔɔ-moon
ฮัลโหล	han-lǒo
เกรด	grèet
เกษม	gà~sěem
เกิด	gə̀ət
เกิดเรื่อง	gə̀ət-rʉ̂ʉang
เก็ต	gét
เขียนจดหมาย	kǐian-jòt-mǎai
เข้าแถว	kâo-tɛ̌ɛo
เค	kee
เครื่องหมาย	krʉ̂ʉang-mǎai
เครื่องแบบ	krʉ̂ʉang-bɛ̀ɛp
เค้ก	kéek
เจ็บปวด	jèp-bpùuat
เชี่ย	chîia
เชื่อมั่น	chʉ̂ʉa-mân
เชื้อ	chʉ́ʉa
เช็ก	chék
เช้า	cháo
เดี๋ยวนี้	dǐiao-níi
เด็กดี	dèk-dii
เต้ย	dtôi
เทคโนโลยี	tèk-noo-loo-yii
เท่า	tâo
เท่าไร	tâo-rai
เนอะ	nə́
เปล่า	bplào
เปิด	bpə̀ət
เปิดเทอม	bpə̀ət-təəm
เป็น	bpen
เป็นจังหวะ	bpen-jang-wà
เป็นธุระ	bpen-tú~rá
เป็นระเบียบ	bpen-rá~bìiap
เป็นสิบๆ	bpen-sìp-sìp
เป็นห่วง	bpen-hùuang
เป็นเพื่อน	bpen-pʉ̂ʉan
เป็นไป	bpen-bpai
เป็นไร	bpen-rai
เป๊ก	bpék
เพอร์เฟกต์	pəə-fék
เพื่อประโยชน์ของ	pʉ̂ʉa-bprà~yòot-kɔ̌ɔng
เพื่อให้	pʉ̂ʉa-hâi
เมย์	mee
เมื่อปีก่อน	mʉ̂ʉa-bpii-gɔ̀ɔn
เมื่อเช้านี้	mʉ̂ʉa-cháo-níi
เย	yee
เร	ree
เรา	rao
เรียน	riian
เรียนพิเศษ	riian-pí~sèet
เร็ว	reo
เลือดเนื้อ	lʉ̂ʉat-nʉ́ʉa
เลื่อนชั้น	lʉ̂ʉan-chán
เล่น	lên
เวท	wêet
เวทมนตร์	wêet-mon
เวฟ	wéep
เวิร์ก	wə́ək
เส	sěe
เห	hěe
เหนือกว่า	nʉ̌ʉa-gwàa
เหนื่อย	nʉ̀ʉai
เหมือน	mʉ̌ʉan
เหลืออยู่	lʉ̌ʉa-yùu
เหอะ	hə̀
เอสโตรเจน	eet-sà~dtroo-jeen
เอาชนะ	ao-chá~ná
เอ้า	âo
เฮ้ย	hə́i
แก้ว	gɛ̂ɛo
แก๊ง	gɛ́ng
แค่นี้	kɛ̂ɛ-níi
แต๊งกิ้ว	dtɛ́ng-gîu
แน็ก	nɛ́k
แบบนี้	bɛ̀ɛp-níi
แป	bpɛɛ
แป๊บเดียว	bpɛ́p-diiao
แฟนตาซี	fɛɛn-dtaa-sii
แฟร์	fɛɛ
แมส	mɛ́t
แม้กระทั่ง	mɛ́ɛ-grà~tâng
แลกเปลี่ยน	lɛ̂ɛk-bplìian
แล้	lɛ́ɛ
แล้ว	lɛ́ɛo
แล้วเสร็จ	lɛ́ɛo-sèt
แวบ	wɛ̂ɛp
แอดวานซ์	ɛ̀t-waan
โกรท	grôot
โจร	joon
โชค	chôok
โดยที่	dooi-tîi
โดยธรรมชาติ	dooi-tam-má~châat
โทรศัพท์	too-rá~sàp
โน่น	nôon
โม	moo
โรงยิม	roong-yim
โรงเรียน	roong-riian
โรงเรียนประจำ	roong-riian-bprà~jam
โรเนียว	roo-niiao
โหว	wǒo
โหวต	wòot
โอ้โฮ	ôo-hoo
โอ๊ย	ói
ใจ	jai
ใจเต้น	jai-dtên
ใช่	châi
ใช่ไหม	châi-mái
ใด	dai
ให้คะแนน	hâi-ká~nɛɛn
ให้ได้	hâi-dâai
ได้ดี	dâai-dii
ไทย	tai
ไป	bpai
ไปดู	bpai-duu
ไผท	pà~tai
ไม่ต้อง	mâi-dtɔ̂ng
ไอดอล	ai-dɔɔn
ก.	gɔɔ
ก.ค.	gɔɔ-kɔɔ
กค	gɔɔ-kɔɔ
กง	gong
กดออด	gòt-ɔ̀ɔt
กรด	gròt
กรรมการ	gam-má~gaan
กรอบ	grɔ̀ɔp
กระ	grà
กระจกรถ	grà~jòk-rót
กระจกหน้ารถ	grà~jòk-nâa-rót
กระจาย	grà~jaai
กระฉูด	grà~chùut
กระซิบ	grà~síp
กระดุม	grà~dum
กระถิน	grà~tǐn
กระทง	grà~tong
กระทะ	grà~tá
กระทั่ง	grà~tâng
กระทืบ	grà~tʉ̂ʉp
กระบวนการผลิต	grà~buuan-gaan-pà~lìt
กระสอบ	grà~sɔ̀ɔp
กระเป๋า	grà~bpǎo
กระเป๋าถือ	grà~bpǎo-tʉ̌ʉ
กระเป๋าหิ้ว	grà~bpǎo-hîu
กระเป๋าเดินทาง	grà~bpǎo-dəən-taang
กระโตกกระตาก	grà~dtòok-grà~dtàak
กราบลา	gràap-laa
กราว	graao
กรินทร์	grin
กริ๊บ	gríp
กรีก	grìik
กรุงเทพ	grung-têep
กรุงเทพมหานคร	grung-têep-má~hǎa-ná~kɔɔn
กรุงเทพฯ	grung-têep
กรุ้มกริ่ม	grûm-grìm
กรุ๊ป	grúp
กรู	gruu
กร่อน	grɔ̀n
กร้าน	grâan
กลยุทธ์	gon-lá~yút
กลับกัน	glàp-gan
กลับบ้าน	glàp-bâan
กลัวผี	gluua-pǐi
กลั่นแกล้ง	glàn-glɛ̂ɛng
กลางวัน	glaang-wan
กลางแปลง	glaang-bplɛɛng
กลาย	glaai
กลาส	glâat
กวง	guuang
กวน	guuan
กวนอิม	guuan-im
กวัด	gwàt
กวาง	gwaang
กสิ	gà~sì
กอง	gɔɔng
กองทัพ	gɔɔng-táp
กองเชียร์	gɔɔng-chia
กอดอก	gɔ̀ɔt-òk
กะละมัง	gà~lá~mang
กะล่อน	gà~lɔ̂n
กะเทย	gà~təəi
กันที่	gan-tîi
กันยา	gan-yaa
กัมปนาท	gam-bpà~nâat
กาบ	gàap
กามเทพ	gaam-má~têep
การฉาย	gaan-chǎai
การต้ม	gaan-dtôm
การถ่ายภาพ	gaan-tàai-pâap
การทำงาน	gaan-tam-ngaan
การทำรายงาน	gaan-tam-raai-ngaan
การประกวด	gaan-bprà~gùuat
การป้องกัน	gaan-bpɔ̂ng-gan
การผลิต	gaan-pà~lìt
การลงทุน	gaan-long-tun
การลอก	gaan-lɔ̂ɔk
การศึกษา	gaan-sʉ̀k-sǎa
การสัมมนา	gaan-sǎm-má~naa
การออกไป	gaan-ɔ̀ɔk-bpai
การันตี	gaa-ran-dtii
การเงิน	gaan-ngən
การเรียน	gaan-riian
การแสดง	gaan-sà~dɛɛng
การโกง	gaan-goong
การ์ด	gáat
กาแฟ	gaa-fɛɛ
กำลังจะ	gam-lang-jà
กำลังดี	gam-lang-dii
กำหนดการ	gam-nòt-gaan
กำเนิด	gam-nə̀ət
กำไล	gam-lai
กิจ	gìt
กินน้ำ	gin-nám
กิฟต์	gíf
กิว	giu
กิโล	gì~loo
กิ๊ง	gíng
กิ๊บ	gíp
กิ๋ม	gǐm
กีฬา	gii-laa
กี้	gîi
กุ	gù
กุมาร	gù~maan
กุล	gun
กู้ภัย	gûu-pai
กู๊ดบาย	gút-baai
กู๋	gǔu
กๆ	gɔɔ-gɔɔ
ก็เพราะว่า	gɔ̂ɔ-prɔ́-wâa
ก่อนที่	gɔ̀ɔn-tîi
ก่อนที่จะ	gɔ̀ɔn-tîi-jà
ก่อนเวลา	gɔ̀ɔn-wee-laa
ก้าน	gâan
ก้ำ	gâm
ก๋อย	gɔ̌i
ขณะนี้	kà~nà-níi
ขนมครก	kà~nǒm-krók
ขนมจีบ	kà~nǒm-jìip
ขนมไทย	kà~nǒm-tai
ขนลุก	kǒn-lúk
ขบวนการ	kà~buuan-gaan
ขบวนรถ	kà~buuan-rót
ขบวนรถไฟ	kà~buuan-rót-fai
ขมิ้น	kà~mîn
ขยับ	kà~yàp
ขยายสาขา	kà~yǎai-sǎa-kǎa
ขวด	kùuat
ขวัญใจ	kwǎn-jai
ขวา	kwǎa
ขวากหนาม	kwàak-nǎam
ของจริง	kɔ̌ɔng-jing
ของส่วนตัว	kɔ̌ɔng-sùuan-dtuua
ขอด	kɔ̀ɔt
ขอทาง	kɔ̌ɔ-taang
ขอบฟ้า	kɔ̀ɔp-fáa
ขอลา	kɔ̌ɔ-laa
ขอเวลา	kɔ̌ɔ-wee-laa
ขอโทษ	kɔ̌ɔ-tôot
ขอให้	kɔ̌ɔ-hâi
ขัดแข้งขัดขา	kàt-kɛ̂ɛng-kàt-kǎa
ขับรถ	kàp-rót
ขาดตัว	kàat-dtuua
ขาย	kǎai
ขายของ	kǎai-kɔ̌ɔng
ขี้ผึ้ง	kîi-pʉ̂ng
ขี้มูก	kîi-mùuk
ขี้ยา	kîi-yaa
ขี้เมา	kîi-mao
ขี้โม้	kîi-móo
ขึ้นกล้อง	kʉ̂n-glɔ̂ng
ขึ้นหา	kʉ̂n-hǎa
ขุน	kǔn
ข่าวดี	kàao-dii
ข้างนอก	kâang-nɔ̂ɔk
คณะกรรมการ	ká~ná-gam-má~gaan
คทา	ká~taa
คนงาน	kon-ngaan
คนจน	kon-jon
คนจีน	kon-jiin
คนชรา	kon-chá~raa
คนดู	kon-duu
คนมีเงิน	kon-mii-ngən
คนรวย	kon-ruuai
คนรัก	kon-rák
คนรุ่นใหม่	kon-rûn-mài
คนร้าย	kon-ráai
คนอื่นๆ	kon-ʉ̀ʉn-ʉ̀ʉn
คนเลี้ยง	kon-líiang
คนแก่	kon-gɛ̀ɛ
คนโต	kon-dtoo
คนใจร้าย	kon-jai-ráai
คนไข้	kon-kâi
คนไทย	kon-tai
ครอก	krɔ̂ɔk
ครอง	krɔɔng
ครอบ	krɔ̂ɔp
ครอบครอง	krɔ̂ɔp-krɔɔng
ครอส	krɔ́t
ครั้งหนึ่ง	kráng-nʉ̀ng
ครั้งหน้า	kráng-nâa
คราวนี้	kraao-níi
ครึ่งทาง	krʉ̂ng-taang
ครุ	krú
คลี่	klìi
คล้อง	klɔ́ɔng
คล้า	kláa
คล้าย	kláai
ควรจะ	kuuan-jà
ความจริง	kwaam-jing
ความช่วยเหลือ	kwaam-chûuai-lʉ̌ʉa
ความต้องการ	kwaam-dtɔ̂ng-gaan
ความถูกต้อง	kwaam-tùuk-dtɔ̂ng
ความปลอดภัย	kwaam-bplɔ̀ɔt-pai
ความผิด	kwaam-pìt
ความระมัดระวัง	kwaam-rá~mát-rá~wang
ความรับผิดชอบ	kwaam-ráp-pìt-chɔ̂ɔp
ความสะอาด	kwaam-sà~àat
ความหนาบาง	kwaam-nǎa-baang
ความอยู่รอด	kwaam-yùu-rɔ̂ɔt
ความเก่ง	kwaam-gèng
ความเชื่อ	kwaam-chʉ̂ʉa
ความเป็นกันเอง	kwaam-bpen-gan-eeng
คอทองแดง	kɔɔ-tɔɔng-dɛɛng
คอน	kɔɔn
คอนเซปต์	kɔɔn-sèp
คอนเซ็ปต์	kɔɔn-sép
คอนเฟิร์ม	kɔɔn-fəəm
คอนโด	kɔɔn-doo
คอนโทรล	kɔɔn-troon
คอมมิวนิสต์	kɔm-miu-nít
คอร์รัปชั่น	kɔɔ-ráp-chân
คอลเซ็นเตอร์	kɔɔn-sen-dtəə
คะแนนเต็ม	ká~nɛɛn-dtem
คัตเอาต์	kát-ao
คับคั่ง	káp-kâng
คั่ว	kûua
คาด	kâat
คาเฟ่	kaa-fêe
คำด่า	kam-dàa
คำอธิษฐาน	kam-à~tít-tǎan
คิดดู	kít-duu
คีย์	kii
คีโม	kii-moo
คืนนี้	kʉʉn-níi
คืนเงิน	kʉʉn-ngən
คุ	kú
คุณชาย	kun-chaai
คุณผู้หญิง	kun-pûu-yǐng
คุณพ่อ	kun-pɔ̂ɔ
คุณหนู	kun-nǔu
คุณแม่	kun-mɛ̂ɛ
คุม	kum
คุ้นๆ	kún-kún
คุ้มครอง	kúm-krɔɔng
คุ้มค่าเหนื่อย	kúm-kâa-nʉ̀ʉai
คุ้ย	kúi
คู	kuu
คูณ	kuun
คู่บ่าวสาว	kûu-bàao-sǎao
คู่มือ	kûu-mʉʉ
คู่รัก	kûu-rák
ค่อม	kɔ̂m
ค่าน้ำค่าไฟ	kâa-nám-kâa-fai
ค่าบำรุง	kâa-bam-rung
ค่าย	kâai
ค่าเหนื่อย	kâa-nʉ̀ʉai
ค่ำคืน	kâm-kʉʉn
ค้น	kón
ค้อน	kɔ́ɔn
ค้ำคอ	kám-kɔɔ
ฆาตกร	kâat-dtà~gɔɔn
งอ	ngɔɔ
งอมืองอเท้า	ngɔɔ-mʉʉ-ngɔɔ-táao
งานการ	ngaan-gaan
งานบ้าน	ngaan-bâan
งานพิเศษ	ngaan-pí~sèet
งิ้ว	ngíu
งี้	ngíi
ง้วน	ngúuan
ง้องอน	ngɔ́ng-ɔɔn
จงใจ	jong-jai
จนกระทั่ง	jon-grà~tâng
จนตาย	jon-dtaai
จนได้	jon-dâai
จม	jom
จริง	jing
จรี	jà~rii
จอด	jɔ̀ɔt
จอมปลวก	jɔɔm-bpluuak
จอร์จ	jɔ́ɔt
จอหงวน	jɔɔ-nguuan
จอโทรทัศน์	jɔɔ-too-rá~tát
จักรวาล	jàk-grà~waan
จัดอันดับ	jàt-an-dàp
จัน	jan
จับนิ่ง	jàp-nîng
จับได้	jàp-dâai
จั่ว	jùua
จั๊ว	júua
จา	jaa
จากนี้	jàak-níi
จามร	jaa-mɔɔn
จารึก	jaa-rʉ́k
จำ	jam
จำกัด	jam-gàt
จำนวนมาก	jam-nuuan-mâak
จำรัส	jam-ràt
จำเป็นต้อง	jam-bpen-dtɔ̂ng
จำเลย	jam-ləəi
จำไว้	jam-wái
จิต	jìt
จิว	jiu
จิ้งเหลน	jîng-lěen
จิ๊กซอว์	jík-sɔɔ
จิ๊บจ๊อย	jíp-jɔ́i
จี	jii
จีน	jiin
จีพีเอ	jii-pii-ee
จึ้ก	jʉ́k
จุดนัดพบ	jùt-nát-póp
จุดโทษ	jùt-tôot
จุมพิต	jum-pít
จุฬาฯ	jù~laa
จู	juu
จูง	juung
จู้	jûu
จ่ง	jòng
จ้อย	jɔ̂i
จ้ะ	jâ
จ้าว	jâao
จ๊าบ	jáap
ฉมวก	chà~mùuak
ฉลาม	chà~lǎam
ฉวี	chà~wǐi
ฉะนั้น	chà~nán
ฉันนั้น	chǎn-nán
ฉาก	chàak
ฉายหนัง	chǎai-nǎng
ฉิบ	chìp
ฉิเชาะ	chí~chɔ́
ฉึก	chʉ̀k
ฉุด	chùt
ชกต่อย	chók-dtɔ̀i
ชงชา	chong-chaa
ชฏา	chá~daa
ชนะเลิศ	chá~ná-lə̂ət
ชรา	chá~raa
ชว	chuua
ชะตาขาด	chá~dtaa-kàat
ชะมวง	chá~muuang
ชะลอ	chá~lɔɔ
ชัน	chan
ชั่น	chân
ชั่ว	chûua
ชั่วนิรันดร์	chûua-ní~ran
ชั้นสอง	chán-sɔ̌ɔng
ชั้นหนึ่ง	chán-nʉ̀ng
ชั้นเยี่ยม	chán-yîiam
ชาวี	chaa-wii
ชาวไทย	chaao-tai
ชิงทุน	ching-tun
ชิงแชมป์	ching-chɛɛm
ชิบ	chíp
ชิล	chin
ชี	chii
ชีต	chíit
ชี้ตัว	chíi-dtuua
ชื่น	chʉ̂ʉn
ชื่อดัง	chʉ̂ʉ-dang
ชื่อย่อ	chʉ̂ʉ-yɔ̂ɔ
ชื้อ	chʉ́ʉ
ชุดว่ายน้ำ	chút-wâai-nám
ชุบชีวิต	chúp-chii-wít
ชุ่ยๆ	chûi-chûi
ชู	chuu
ชโย	chá~yoo
ช็อกโกแลต	chɔ́k-goo-lɛ́ɛt
ช็อต	chɔ́t
ช็อปปิ้ง	chɔ́p-bpîng
ช่วงนี้	chûuang-níi
ช่วยชีวิต	chûuai-chii-wít
ช่องโหว่	chɔ̂ng-wòo
ช่างซ่อม	châang-sɔ̂m
ช่างสังเกต	châng-sǎng-gèet
ช่างไฟ	châang-fai
ช้อยซ์	chɔ́i
ช้อยส์	chɔ́i
ช้ำ	chám
ช้ำชอก	chám-chɔ̂ɔk
ซน	son
ซวก	sûuak
ซอคเก้อร์	sɔ́k-gə̂ə
ซอฟต์	sɔ́f
ซับ	sáp
ซัม	sam
ซา	saa
ซาง	saang
ซาลาเปา	saa-laa-bpao
ซิง	sing
ซิดนีย์	sít-nii
ซิฟิลิส	sí~fí~lít
ซิว	siu
ซิ่ง	sîng
ซิ้ม	sím
ซี	sii
ซีน	siin
ซี่	sîi
ซี้ซั้ว	sí-sûua
ซึมเศร้า	sʉm-sâo
ซุก	súk
ซุบซิบ	súp-síp
ซูเปอร์	suu-bpəə
ซ่อนตัว	sɔ̂n-dtuua
ซ้อนท้าย	sɔ́n-táai
ซ้อมใหญ่	sɔ́m-yài
ซ้าย	sáai
ซ์	sɔɔ
ฌอน	chɔɔn
ญาติโยม	yâat-yoom
ญแจก็ต้อง	yɛɛ-jɛɛ-gɔ̂ɔ-dtɔ̂ng
ณาพร	naa-pɔɔn
ดง	dong
ดร	dɔɔn
ดรัมเมเยอร์	dram-mee-yəə
ดวง	duuang
ดวงดาว	duuang-daao
ดวงตา	duuang-dtaa
ดวงอาทิตย์	duuang-aa-tít
ดหนม	dà~nǒm
ดอลลาร์สิงคโปร์	dɔn-lâa-sǐng-ká~bpoo
ดะ	dà
ดักรอ	dàk-rɔɔ
ดังต่อไปนี้	dang-dtɔ̀ɔ-bpai-níi
ดัสกร	dàt-sà~gɔɔn
ดั่ง	dàng
ดั้ง	dâng
ดาดฟ้า	dàat-fáa
ดาบ	dàap
ดามพ์	daam
ดารา	daa-raa
ดาวน์	daao
ดาวรุ่ง	daao-rûng
ดาวหาง	daao-hǎang
ดำ	dam
ดำเนิน	dam-nəən
ดำเนินการ	dam-nəən-gaan
ดินสอ	din-sɔ̌ɔ
ดินเนอร์	din-nəə
ดิ่ง	dìng
ดิ้น	dîn
ดิ๊ก	dík
